"STATE_CODE","SHRP_ID","CONSTRUCTION_NO","CN_ASSIGN_DATE","CN_CHANGE_REASON","RECORD_STATUS","GPS_SPS","EXPERIMENT_NO","STATUS","ASSIGN_DATE","DEASSIGN_DATE","SEAS_ID","SUPPLEMENTAL","EXP_SECT_RS","BASIC_INFO_RS","PAV_STRUCT_RS","TRAFFIC_RS","CLIMATIC_RS"
27,"1017",3,6/1/2004 0:00:00,"28","E","G","1","O",1/1/1993 0:00:00,5/1/2008 0:00:00,,,"E","E","E","E","E"
27,"2018",3,6/1/2000 0:00:00,"1,24","E","G","1","O",1/1/1993 0:00:00,5/1/2008 0:00:00,,,"E","E","E","E","E"
27,"2018",4,6/1/2003 0:00:00,"29","E","G","1","O",1/1/1993 0:00:00,5/1/2008 0:00:00,,,"E","E","E","E","E"
27,"4034",3,6/15/1994 0:00:00,"6","E","G","4","O",1/1/1987 0:00:00,8/1/2016 0:00:00,,,"E","E","E","E","E"
27,"4034",4,6/1/1999 0:00:00,"2,3","E","G","4","O",1/1/1987 0:00:00,8/1/2016 0:00:00,,,"E","E","E","E","E"
27,"4034",5,8/1/2001 0:00:00,"6","E","G","4","O",1/1/1987 0:00:00,8/1/2016 0:00:00,,,"E","E","E","E","E"
27,"4050",3,6/1/2002 0:00:00,"54","E","G","4","O",1/1/1987 0:00:00,8/1/2016 0:00:00,,,"E","E","E","E","E"
27,"4054",2,6/1/1992 0:00:00,"54","E","G","4","O",1/1/1987 0:00:00,10/1/2009 0:00:00,,,"E","E","E","E","E"
27,"4054",3,6/1/2002 0:00:00,"54","E","G","4","O",1/1/1987 0:00:00,10/1/2009 0:00:00,,,"E","E","E","E","E"
27,"6300",3,6/1/1997 0:00:00,"4","E","G","9","O",1/1/1987 0:00:00,12/31/2005 0:00:00,,,"E","E","E","E","E"
27,"6300",4,6/1/2003 0:00:00,"54","E","G","9","O",1/1/1987 0:00:00,12/31/2005 0:00:00,,,"E","E","E","E","E"
27,"D340",2,6/1/1991 0:00:00,"25","E","S","3","O",1/1/1987 0:00:00,8/31/1994 0:00:00,,,"E","E","E","E","E"
